year,week,rank,team,record,scraped_at
2023,Week 14,1,Michigan,13-0,2025-08-09T09:40:51.404903
2023,Week 14,2,Washington,13-0,2025-08-09T09:40:51.404994
2023,Week 14,3,Texas,12-1,2025-08-09T09:40:51.405069
2023,Week 14,4,Alabama,12-1,2025-08-09T09:40:51.405146
2023,Week 14,5,Florida State,13-0,2025-08-09T09:40:51.405219
2023,Week 14,6,Georgia,12-1,2025-08-09T09:40:51.405293
2023,Week 14,7,Ohio State,11-1,2025-08-09T09:40:51.405366
2023,Week 14,8,Oregon,11-2,2025-08-09T09:40:51.405441
2023,Week 14,9,Missouri,10-2,2025-08-09T09:40:51.405513
2023,Week 14,10,Penn State,10-2,2025-08-09T09:40:51.405585
2023,Week 14,11,Mississippi,10-2,2025-08-09T09:40:51.405658
2023,Week 14,12,Oklahoma,10-2,2025-08-09T09:40:51.405773
2023,Week 14,13,LSU,9-3,2025-08-09T09:40:51.405846
2023,Week 14,14,Arizona,9-3,2025-08-09T09:40:51.405922
2023,Week 14,15,Louisville,10-3,2025-08-09T09:40:51.405996
2023,Week 14,16,Notre Dame,9-3,2025-08-09T09:40:51.406067
2023,Week 14,17,Iowa,10-3,2025-08-09T09:40:51.406141
2023,Week 14,18,NC State,9-3,2025-08-09T09:40:51.406215
2023,Week 14,19,Oregon State,8-4,2025-08-09T09:40:51.406288
2023,Week 14,20,Oklahoma State,9-4,2025-08-09T09:40:51.406360
2023,Week 14,21,Tennessee,8-4,2025-08-09T09:40:51.406432
2023,Week 14,22,Clemson,8-4,2025-08-09T09:40:51.406503
2023,Week 14,23,Liberty,13-0,2025-08-09T09:40:51.406575
2023,Week 14,24,SMU,11-2,2025-08-09T09:40:51.406647
2023,Week 14,25,Kansas State,8-4,2025-08-09T09:40:51.406723
2023,Week 13,1,Georgia,12-0,2025-08-09T09:41:01.703163
2023,Week 13,2,Michigan,12-0,2025-08-09T09:41:01.703258
2023,Week 13,3,Washington,12-0,2025-08-09T09:41:01.703338
2023,Week 13,4,Florida State,12-0,2025-08-09T09:41:01.703415
2023,Week 13,5,Oregon,11-1,2025-08-09T09:41:01.703492
2023,Week 13,6,Ohio State,11-1,2025-08-09T09:41:01.703569
2023,Week 13,7,Texas,11-1,2025-08-09T09:41:01.703645
2023,Week 13,8,Alabama,11-1,2025-08-09T09:41:01.703722
2023,Week 13,9,Missouri,10-2,2025-08-09T09:41:01.703802
2023,Week 13,10,Penn State,10-2,2025-08-09T09:41:01.703880
2023,Week 13,11,Mississippi,10-2,2025-08-09T09:41:01.703956
2023,Week 13,12,Oklahoma,10-2,2025-08-09T09:41:01.704037
2023,Week 13,13,LSU,9-3,2025-08-09T09:41:01.704114
2023,Week 13,14,Louisville,10-2,2025-08-09T09:41:01.704191
2023,Week 13,15,Arizona,9-3,2025-08-09T09:41:01.704267
2023,Week 13,16,Iowa,10-2,2025-08-09T09:41:01.704343
2023,Week 13,17,Notre Dame,9-3,2025-08-09T09:41:01.704419
2023,Week 13,18,Oklahoma State,9-3,2025-08-09T09:41:01.704495
2023,Week 13,19,NC State,9-3,2025-08-09T09:41:01.704572
2023,Week 13,20,Oregon State,8-4,2025-08-09T09:41:01.704651
2023,Week 13,21,Tennessee,8-4,2025-08-09T09:41:01.704727
2023,Week 13,22,Tulane,11-1,2025-08-09T09:41:01.704803
2023,Week 13,23,Clemson,8-4,2025-08-09T09:41:01.704878
2023,Week 13,24,Liberty,12-0,2025-08-09T09:41:01.704954
2023,Week 13,25,Kansas State,8-4,2025-08-09T09:41:01.705034
2023,Week 12,1,Georgia,11-0,2025-08-09T09:41:12.067713
2023,Week 12,2,Ohio State,11-0,2025-08-09T09:41:12.067802
2023,Week 12,3,Michigan,11-0,2025-08-09T09:41:12.067881
2023,Week 12,4,Washington,11-0,2025-08-09T09:41:12.067959
2023,Week 12,5,Florida State,11-0,2025-08-09T09:41:12.068037
2023,Week 12,6,Oregon,10-1,2025-08-09T09:41:12.068114
2023,Week 12,7,Texas,10-1,2025-08-09T09:41:12.068190
2023,Week 12,8,Alabama,10-1,2025-08-09T09:41:12.068268
2023,Week 12,9,Missouri,9-2,2025-08-09T09:41:12.068345
2023,Week 12,10,Louisville,10-1,2025-08-09T09:41:12.068422
2023,Week 12,11,Penn State,9-2,2025-08-09T09:41:12.068499
2023,Week 12,12,Mississippi,9-2,2025-08-09T09:41:12.068576
2023,Week 12,13,Oklahoma,9-2,2025-08-09T09:41:12.068652
