year,week,rank,team,record,scraped_at
2018,Week 12,13,West Virginia,8-2,2025-08-09T09:46:38.800150
2018,Week 12,14,Texas,8-3,2025-08-09T09:46:38.800229
2018,Week 12,15,Kentucky,8-3,2025-08-09T09:46:38.800309
2018,Week 12,16,Washington,8-3,2025-08-09T09:46:38.800387
2018,Week 12,17,Utah,8-3,2025-08-09T09:46:38.800464
2018,Week 12,18,Mississippi State,7-4,2025-08-09T09:46:38.800543
2018,Week 12,19,Northwestern,7-4,2025-08-09T09:46:38.800621
2018,Week 12,20,Syracuse,8-3,2025-08-09T09:46:38.800699
2018,Week 12,21,Utah State,10-1,2025-08-09T09:46:38.800787
2018,Week 12,22,Texas A&M,7-4,2025-08-09T09:46:38.800867
2018,Week 12,23,Boise State,9-2,2025-08-09T09:46:38.800947
2018,Week 12,24,Pittsburgh,7-4,2025-08-09T09:46:38.801025
2018,Week 12,25,Iowa State,6-4,2025-08-09T09:46:38.801104
2018,Week 11,1,Alabama,10-0,2025-08-09T09:46:49.108880
2018,Week 11,2,Clemson,10-0,2025-08-09T09:46:49.108970
2018,Week 11,3,Notre Dame,10-0,2025-08-09T09:46:49.109049
2018,Week 11,4,Michigan,9-1,2025-08-09T09:46:49.109126
2018,Week 11,5,Georgia,9-1,2025-08-09T09:46:49.109202
2018,Week 11,6,Oklahoma,9-1,2025-08-09T09:46:49.109278
2018,Week 11,7,LSU,8-2,2025-08-09T09:46:49.109355
2018,Week 11,8,Washington State,9-1,2025-08-09T09:46:49.109431
2018,Week 11,9,West Virginia,8-1,2025-08-09T09:46:49.109508
2018,Week 11,10,Ohio State,9-1,2025-08-09T09:46:49.109584
2018,Week 11,11,UCF,9-0,2025-08-09T09:46:49.109659
2018,Week 11,12,Syracuse,8-2,2025-08-09T09:46:49.109735
2018,Week 11,13,Florida,7-3,2025-08-09T09:46:49.109811
2018,Week 11,14,Penn State,7-3,2025-08-09T09:46:49.109887
2018,Week 11,15,Texas,7-3,2025-08-09T09:46:49.109963
2018,Week 11,16,Iowa State,6-3,2025-08-09T09:46:49.110039
2018,Week 11,17,Kentucky,7-3,2025-08-09T09:46:49.110115
2018,Week 11,18,Washington,7-3,2025-08-09T09:46:49.110192
2018,Week 11,19,Utah,7-3,2025-08-09T09:46:49.110269
2018,Week 11,20,Boston College,7-3,2025-08-09T09:46:49.110344
2018,Week 11,21,Mississippi State,6-4,2025-08-09T09:46:49.110419
2018,Week 11,22,Northwestern,6-4,2025-08-09T09:46:49.110494
2018,Week 11,23,Utah State,9-1,2025-08-09T09:46:49.110571
2018,Week 11,24,Cincinnati,9-1,2025-08-09T09:46:49.110647
2018,Week 11,25,Boise State,8-2,2025-08-09T09:46:49.110722
2018,Week 10,1,Alabama,9-0,2025-08-09T09:46:59.426810
2018,Week 10,2,Clemson,9-0,2025-08-09T09:46:59.426900
2018,Week 10,3,Notre Dame,9-0,2025-08-09T09:46:59.426979
2018,Week 10,4,Michigan,8-1,2025-08-09T09:46:59.427057
2018,Week 10,5,Georgia,8-1,2025-08-09T09:46:59.427134
2018,Week 10,6,Oklahoma,8-1,2025-08-09T09:46:59.427210
2018,Week 10,7,LSU,7-2,2025-08-09T09:46:59.427286
2018,Week 10,8,Washington State,8-1,2025-08-09T09:46:59.427363
2018,Week 10,9,West Virginia,7-1,2025-08-09T09:46:59.427439
2018,Week 10,10,Ohio State,8-1,2025-08-09T09:46:59.427515
2018,Week 10,11,Kentucky,7-2,2025-08-09T09:46:59.427592
2018,Week 10,12,UCF,8-0,2025-08-09T09:46:59.427669
2018,Week 10,13,Syracuse,7-2,2025-08-09T09:46:59.427745
2018,Week 10,14,NC State,6-2,2025-08-09T09:46:59.427820
2018,Week 10,15,Florida,6-3,2025-08-09T09:46:59.427896
2018,Week 10,16,Mississippi State,6-3,2025-08-09T09:46:59.427972
2018,Week 10,17,Boston College,7-2,2025-08-09T09:46:59.428048
2018,Week 10,18,Michigan State,6-3,2025-08-09T09:46:59.428124
2018,Week 10,19,Texas,6-3,2025-08-09T09:46:59.428200
2018,Week 10,20,Penn State,6-3,2025-08-09T09:46:59.428276
2018,Week 10,21,Iowa,6-3,2025-08-09T09:46:59.428352
2018,Week 10,22,Iowa State,5-3,2025-08-09T09:46:59.428427
2018,Week 10,23,Fresno State,8-1,2025-08-09T09:46:59.428503
2018,Week 10,24,Auburn,6-3,2025-08-09T09:46:59.428579
2018,Week 10,25,Washington,7-3,2025-08-09T09:46:59.428656
