year,week,rank,team,record,scraped_at
2018,Week 14,1,Alabama,13-0,2025-08-09T09:46:18.149833
2018,Week 14,2,Clemson,13-0,2025-08-09T09:46:18.149951
2018,Week 14,3,Notre Dame,12-0,2025-08-09T09:46:18.150055
2018,Week 14,4,Oklahoma,12-1,2025-08-09T09:46:18.150157
2018,Week 14,5,Georgia,11-2,2025-08-09T09:46:18.150258
2018,Week 14,6,Ohio State,12-1,2025-08-09T09:46:18.150359
2018,Week 14,7,Michigan,10-2,2025-08-09T09:46:18.150462
2018,Week 14,8,UCF,12-0,2025-08-09T09:46:18.150564
2018,Week 14,9,Washington,10-3,2025-08-09T09:46:18.150665
2018,Week 14,10,Florida,9-3,2025-08-09T09:46:18.150767
2018,Week 14,11,LSU,9-3,2025-08-09T09:46:18.150869
2018,Week 14,12,Penn State,9-3,2025-08-09T09:46:18.150971
2018,Week 14,13,Washington State,10-2,2025-08-09T09:46:18.151073
2018,Week 14,14,Kentucky,9-3,2025-08-09T09:46:18.151175
2018,Week 14,15,Texas,9-4,2025-08-09T09:46:18.151276
2018,Week 14,16,West Virginia,8-3,2025-08-09T09:46:18.151378
2018,Week 14,17,Utah,9-4,2025-08-09T09:46:18.151480
2018,Week 14,18,Mississippi State,8-4,2025-08-09T09:46:18.151585
2018,Week 14,19,Texas A&M,8-4,2025-08-09T09:46:18.151686
2018,Week 14,20,Syracuse,9-3,2025-08-09T09:46:18.151789
2018,Week 14,21,Fresno State,11-2,2025-08-09T09:46:18.151891
2018,Week 14,22,Northwestern,8-5,2025-08-09T09:46:18.151992
2018,Week 14,23,Missouri,8-4,2025-08-09T09:46:18.152093
2018,Week 14,24,Iowa State,8-4,2025-08-09T09:46:18.152195
2018,Week 14,25,Boise State,10-3,2025-08-09T09:46:18.152296
2018,Week 13,1,Alabama,12-0,2025-08-09T09:46:28.473513
2018,Week 13,2,Clemson,12-0,2025-08-09T09:46:28.473607
2018,Week 13,3,Notre Dame,12-0,2025-08-09T09:46:28.473688
2018,Week 13,4,Georgia,11-1,2025-08-09T09:46:28.473769
2018,Week 13,5,Oklahoma,11-1,2025-08-09T09:46:28.473848
2018,Week 13,6,Ohio State,11-1,2025-08-09T09:46:28.473928
2018,Week 13,7,Michigan,10-2,2025-08-09T09:46:28.474007
2018,Week 13,8,UCF,11-0,2025-08-09T09:46:28.474085
2018,Week 13,9,Florida,9-3,2025-08-09T09:46:28.474163
2018,Week 13,10,LSU,9-3,2025-08-09T09:46:28.474243
2018,Week 13,11,Washington,9-3,2025-08-09T09:46:28.474321
2018,Week 13,12,Penn State,9-3,2025-08-09T09:46:28.474400
2018,Week 13,13,Washington State,10-2,2025-08-09T09:46:28.474481
2018,Week 13,14,Texas,9-3,2025-08-09T09:46:28.474562
2018,Week 13,15,Kentucky,9-3,2025-08-09T09:46:28.474646
2018,Week 13,16,West Virginia,8-3,2025-08-09T09:46:28.474774
2018,Week 13,17,Utah,9-3,2025-08-09T09:46:28.474856
2018,Week 13,18,Mississippi State,8-4,2025-08-09T09:46:28.474938
2018,Week 13,19,Texas A&M,8-4,2025-08-09T09:46:28.475019
2018,Week 13,20,Syracuse,9-3,2025-08-09T09:46:28.475099
2018,Week 13,21,Northwestern,8-4,2025-08-09T09:46:28.475178
2018,Week 13,22,Boise State,10-2,2025-08-09T09:46:28.475259
2018,Week 13,23,Iowa State,7-4,2025-08-09T09:46:28.475339
2018,Week 13,24,Missouri,8-4,2025-08-09T09:46:28.475420
2018,Week 13,25,Fresno State,10-2,2025-08-09T09:46:28.475502
2018,Week 12,1,Alabama,11-0,2025-08-09T09:46:38.799176
2018,Week 12,2,Clemson,11-0,2025-08-09T09:46:38.799270
2018,Week 12,3,Notre Dame,11-0,2025-08-09T09:46:38.799351
2018,Week 12,4,Michigan,10-1,2025-08-09T09:46:38.799431
2018,Week 12,5,Georgia,10-1,2025-08-09T09:46:38.799510
2018,Week 12,6,Oklahoma,10-1,2025-08-09T09:46:38.799590
2018,Week 12,7,LSU,9-2,2025-08-09T09:46:38.799671
2018,Week 12,8,Washington State,10-1,2025-08-09T09:46:38.799751
2018,Week 12,9,UCF,10-0,2025-08-09T09:46:38.799832
2018,Week 12,10,Ohio State,10-1,2025-08-09T09:46:38.799911
2018,Week 12,11,Florida,8-3,2025-08-09T09:46:38.799990
2018,Week 12,12,Penn State,8-3,2025-08-09T09:46:38.800068
