year,week,rank,team,record,scraped_at
2024,Week 15,1,Oregon,13-0,2025-08-09T09:39:35.646310
2024,Week 15,2,Georgia,11-2,2025-08-09T09:39:35.646416
2024,Week 15,3,Texas,11-2,2025-08-09T09:39:35.646496
2024,Week 15,4,Penn State,11-2,2025-08-09T09:39:35.646571
2024,Week 15,5,Notre Dame,11-1,2025-08-09T09:39:35.646646
2024,Week 15,6,Ohio State,10-2,2025-08-09T09:39:35.646840
2024,Week 15,7,Tennessee,10-2,2025-08-09T09:39:35.646965
2024,Week 15,8,Indiana,11-1,2025-08-09T09:39:35.647100
2024,Week 15,9,Boise State,12-1,2025-08-09T09:39:35.647204
2024,Week 15,10,SMU,11-2,2025-08-09T09:39:35.647278
2024,Week 15,11,Alabama,9-3,2025-08-09T09:39:35.647350
2024,Week 15,12,Arizona State,11-2,2025-08-09T09:39:35.647423
2024,Week 15,13,Miami,10-2,2025-08-09T09:39:35.647497
2024,Week 15,14,Ole Miss,9-3,2025-08-09T09:39:35.647569
2024,Week 15,15,South Carolina,9-3,2025-08-09T09:39:35.647647
2024,Week 15,16,Clemson,10-3,2025-08-09T09:39:35.647720
2024,Week 15,17,BYU,10-2,2025-08-09T09:39:35.647792
2024,Week 15,18,Iowa State,10-3,2025-08-09T09:39:35.647865
2024,Week 15,19,Missouri,9-3,2025-08-09T09:39:35.647938
2024,Week 15,20,Illinois,9-3,2025-08-09T09:39:35.648010
2024,Week 15,21,Syracuse,9-3,2025-08-09T09:39:35.648081
2024,Week 15,22,Army,11-1,2025-08-09T09:39:35.648153
2024,Week 15,23,Colorado,9-3,2025-08-09T09:39:35.648224
2024,Week 15,24,UNLV,10-3,2025-08-09T09:39:35.648296
2024,Week 15,25,Memphis,10-2,2025-08-09T09:39:35.648367
2024,Week 14,1,Oregon,12-0,2025-08-09T09:39:46.020473
2024,Week 14,2,Texas,11-1,2025-08-09T09:39:46.020609
2024,Week 14,3,Penn State,11-1,2025-08-09T09:39:46.020713
2024,Week 14,4,Notre Dame,11-1,2025-08-09T09:39:46.020805
2024,Week 14,5,Georgia,10-2,2025-08-09T09:39:46.020881
2024,Week 14,6,Ohio State,10-2,2025-08-09T09:39:46.020972
2024,Week 14,7,Tennessee,10-2,2025-08-09T09:39:46.021050
2024,Week 14,8,SMU,11-1,2025-08-09T09:39:46.021128
2024,Week 14,9,Indiana,11-1,2025-08-09T09:39:46.021206
2024,Week 14,10,Boise State,11-1,2025-08-09T09:39:46.021286
2024,Week 14,11,Alabama,9-3,2025-08-09T09:39:46.021365
2024,Week 14,12,Miami,10-2,2025-08-09T09:39:46.021443
2024,Week 14,13,Mississippi,9-3,2025-08-09T09:39:46.021526
2024,Week 14,14,South Carolina,9-3,2025-08-09T09:39:46.021605
2024,Week 14,15,Arizona State,10-2,2025-08-09T09:39:46.021684
2024,Week 14,16,Iowa State,10-2,2025-08-09T09:39:46.021763
2024,Week 14,17,Clemson,9-3,2025-08-09T09:39:46.021841
2024,Week 14,18,BYU,10-2,2025-08-09T09:39:46.021920
2024,Week 14,19,Missouri,9-3,2025-08-09T09:39:46.021998
2024,Week 14,20,UNLV,10-2,2025-08-09T09:39:46.022076
2024,Week 14,21,Illinois,9-3,2025-08-09T09:39:46.022155
2024,Week 14,22,Syracuse,9-3,2025-08-09T09:39:46.022238
2024,Week 14,23,Colorado,9-3,2025-08-09T09:39:46.022318
2024,Week 14,24,Army,10-1,2025-08-09T09:39:46.022396
2024,Week 14,25,Memphis,10-2,2025-08-09T09:39:46.022473
2024,Week 13,1,Oregon,11-0,2025-08-09T09:39:56.331352
2024,Week 13,2,Ohio State,10-1,2025-08-09T09:39:56.331442
2024,Week 13,3,Texas,10-1,2025-08-09T09:39:56.331522
2024,Week 13,4,Penn State,10-1,2025-08-09T09:39:56.331598
2024,Week 13,5,Notre Dame,10-1,2025-08-09T09:39:56.331676
2024,Week 13,6,Miami,10-1,2025-08-09T09:39:56.331751
2024,Week 13,7,Georgia,9-2,2025-08-09T09:39:56.331828
2024,Week 13,8,Tennessee,9-2,2025-08-09T09:39:56.331912
