year,week,rank,team,record,scraped_at
2024,Week 13,9,SMU,10-1,2025-08-09T09:39:56.331989
2024,Week 13,10,Indiana,10-1,2025-08-09T09:39:56.332066
2024,Week 13,11,Boise State,10-1,2025-08-09T09:39:56.332146
2024,Week 13,12,Clemson,9-2,2025-08-09T09:39:56.332222
2024,Week 13,13,Alabama,8-3,2025-08-09T09:39:56.332299
2024,Week 13,14,Mississippi,8-3,2025-08-09T09:39:56.332374
2024,Week 13,15,South Carolina,8-3,2025-08-09T09:39:56.332450
2024,Week 13,16,Arizona State,9-2,2025-08-09T09:39:56.332526
2024,Week 13,17,Tulane,9-2,2025-08-09T09:39:56.332605
2024,Week 13,18,Iowa State,9-2,2025-08-09T09:39:56.332681
2024,Week 13,19,BYU,9-2,2025-08-09T09:39:56.332757
2024,Week 13,20,Texas A&M,8-3,2025-08-09T09:39:56.332833
2024,Week 13,21,Missouri,8-3,2025-08-09T09:39:56.332909
2024,Week 13,22,UNLV,9-2,2025-08-09T09:39:56.332987
2024,Week 13,23,Illinois,8-3,2025-08-09T09:39:56.333063
2024,Week 13,24,Kansas State,8-3,2025-08-09T09:39:56.333138
2024,Week 13,25,Colorado,8-3,2025-08-09T09:39:56.333215
2024,Week 12,1,Oregon,11-0,2025-08-09T09:40:06.686581
2024,Week 12,2,Ohio State,9-1,2025-08-09T09:40:06.686673
2024,Week 12,3,Texas,9-1,2025-08-09T09:40:06.686754
2024,Week 12,4,Penn State,9-1,2025-08-09T09:40:06.686835
2024,Week 12,5,Indiana,10-0,2025-08-09T09:40:06.686942
2024,Week 12,6,Notre Dame,9-1,2025-08-09T09:40:06.687036
2024,Week 12,7,Alabama,8-2,2025-08-09T09:40:06.687123
2024,Week 12,8,Miami,9-1,2025-08-09T09:40:06.687205
2024,Week 12,9,Mississippi,8-2,2025-08-09T09:40:06.687285
2024,Week 12,10,Georgia,8-2,2025-08-09T09:40:06.687365
2024,Week 12,11,Tennessee,8-2,2025-08-09T09:40:06.687445
2024,Week 12,12,Boise State,9-1,2025-08-09T09:40:06.687524
2024,Week 12,13,SMU,9-1,2025-08-09T09:40:06.687604
2024,Week 12,14,BYU,9-1,2025-08-09T09:40:06.687684
2024,Week 12,15,Texas A&M,8-2,2025-08-09T09:40:06.687764
2024,Week 12,16,Colorado,8-2,2025-08-09T09:40:06.687844
2024,Week 12,17,Clemson,8-2,2025-08-09T09:40:06.687923
2024,Week 12,18,South Carolina,7-3,2025-08-09T09:40:06.688003
2024,Week 12,19,Army,9-0,2025-08-09T09:40:06.688083
2024,Week 12,20,Tulane,9-2,2025-08-09T09:40:06.688163
2024,Week 12,21,Arizona State,8-2,2025-08-09T09:40:06.688241
2024,Week 12,22,Iowa State,8-2,2025-08-09T09:40:06.688321
2024,Week 12,23,Missouri,7-3,2025-08-09T09:40:06.688400
2024,Week 12,24,UNLV,8-2,2025-08-09T09:40:06.688478
2024,Week 12,25,Illinois,7-3,2025-08-09T09:40:06.688557
2024,Week 11,1,Oregon,10-0,2025-08-09T09:40:17.010798
2024,Week 11,2,Ohio State,8-1,2025-08-09T09:40:17.010901
2024,Week 11,3,Texas,8-1,2025-08-09T09:40:17.010975
2024,Week 11,4,Penn State,8-1,2025-08-09T09:40:17.011048
2024,Week 11,5,Indiana,10-0,2025-08-09T09:40:17.011122
2024,Week 11,6,BYU,9-0,2025-08-09T09:40:17.011196
2024,Week 11,7,Tennessee,8-1,2025-08-09T09:40:17.011269
2024,Week 11,8,Notre Dame,8-1,2025-08-09T09:40:17.011359
2024,Week 11,9,Miami,9-1,2025-08-09T09:40:17.011473
2024,Week 11,10,Alabama,7-2,2025-08-09T09:40:17.011583
2024,Week 11,11,Mississippi,8-2,2025-08-09T09:40:17.011728
2024,Week 11,12,Georgia,7-2,2025-08-09T09:40:17.011801
2024,Week 11,13,Boise State,8-1,2025-08-09T09:40:17.011873
2024,Week 11,14,SMU,8-1,2025-08-09T09:40:17.011945
2024,Week 11,15,Texas A&M,7-2,2025-08-09T09:40:17.012101
2024,Week 11,16,Kansas State,7-2,2025-08-09T09:40:17.012282
2024,Week 11,17,Colorado,7-2,2025-08-09T09:40:17.012402
2024,Week 11,18,Washington State,8-1,2025-08-09T09:40:17.012494
2024,Week 11,19,Louisville,6-3,2025-08-09T09:40:17.012610
2024,Week 11,20,Clemson,7-2,2025-08-09T09:40:17.012757
2024,Week 11,21,South Carolina,6-3,2025-08-09T09:40:17.012858
2024,Week 11,22,LSU,6-3,2025-08-09T09:40:17.012931
2024,Week 11,23,Missouri,7-2,2025-08-09T09:40:17.013004
2024,Week 11,24,Army,9-0,2025-08-09T09:40:17.013077
2024,Week 11,25,Tulane,8-2,2025-08-09T09:40:17.013149
2024,Week 10,1,Oregon,9-0,2025-08-09T09:40:27.296141
2024,Week 10,2,Ohio State,7-1,2025-08-09T09:40:27.296427
2024,Week 10,3,Georgia,7-1,2025-08-09T09:40:27.296560
2024,Week 10,4,Miami,9-0,2025-08-09T09:40:27.296642
2024,Week 10,5,Texas,7-1,2025-08-09T09:40:27.296721
2024,Week 10,6,Penn State,7-1,2025-08-09T09:40:27.296819
2024,Week 10,7,Tennessee,7-1,2025-08-09T09:40:27.296947
2024,Week 10,8,Indiana,9-0,2025-08-09T09:40:27.297040
2024,Week 10,9,BYU,8-0,2025-08-09T09:40:27.297114
2024,Week 10,10,Notre Dame,7-1,2025-08-09T09:40:27.297190
2024,Week 10,11,Alabama,6-2,2025-08-09T09:40:27.297263
2024,Week 10,12,Boise State,7-1,2025-08-09T09:40:27.297339
2024,Week 10,13,SMU,8-1,2025-08-09T09:40:27.297414
2024,Week 10,14,Texas A&M,7-2,2025-08-09T09:40:27.297507
2024,Week 10,15,LSU,6-2,2025-08-09T09:40:27.297594
2024,Week 10,16,Mississippi,7-2,2025-08-09T09:40:27.297667
2024,Week 10,17,Iowa State,7-1,2025-08-09T09:40:27.297741
2024,Week 10,18,Pittsburgh,7-1,2025-08-09T09:40:27.297816
2024,Week 10,19,Kansas State,7-2,2025-08-09T09:40:27.297891
2024,Week 10,20,Colorado,6-2,2025-08-09T09:40:27.297964
2024,Week 10,21,Washington State,7-1,2025-08-09T09:40:27.298039
2024,Week 10,22,Louisville,6-3,2025-08-09T09:40:27.298112
2024,Week 10,23,Clemson,6-2,2025-08-09T09:40:27.298185
2024,Week 10,24,Missouri,6-2,2025-08-09T09:40:27.298258
2024,Week 10,25,Army,8-0,2025-08-09T09:40:27.298367
