year,week,rank,team,record,scraped_at
2016,Week 14,1,Alabama,13-0,2025-08-09T09:48:28.663596
2016,Week 14,2,Clemson,12-1,2025-08-09T09:48:28.663690
2016,Week 14,3,Ohio State,11-1,2025-08-09T09:48:28.663772
2016,Week 14,4,Washington,12-1,2025-08-09T09:48:28.663853
2016,Week 14,5,Penn State,11-2,2025-08-09T09:48:28.663934
2016,Week 14,6,Michigan,10-2,2025-08-09T09:48:28.664013
2016,Week 14,7,Oklahoma,10-2,2025-08-09T09:48:28.664092
2016,Week 14,8,Wisconsin,10-3,2025-08-09T09:48:28.664171
2016,Week 14,9,Southern California,9-3,2025-08-09T09:48:28.664250
2016,Week 14,10,Colorado,10-3,2025-08-09T09:48:28.664329
2016,Week 14,11,Florida State,9-3,2025-08-09T09:48:28.664408
2016,Week 14,12,Oklahoma State,9-3,2025-08-09T09:48:28.664487
2016,Week 14,13,Louisville,9-3,2025-08-09T09:48:28.664566
2016,Week 14,14,Auburn,8-4,2025-08-09T09:48:28.664645
2016,Week 14,15,Western Michigan,13-0,2025-08-09T09:48:28.664724
2016,Week 14,16,West Virginia,10-2,2025-08-09T09:48:28.664804
2016,Week 14,17,Florida,8-4,2025-08-09T09:48:28.664883
2016,Week 14,18,Stanford,9-3,2025-08-09T09:48:28.664963
2016,Week 14,19,Utah,8-4,2025-08-09T09:48:28.665043
2016,Week 14,20,LSU,7-4,2025-08-09T09:48:28.665123
2016,Week 14,21,Tennessee,8-4,2025-08-09T09:48:28.665202
2016,Week 14,22,Virginia Tech,9-4,2025-08-09T09:48:28.665282
2016,Week 14,23,Pittsburgh,8-4,2025-08-09T09:48:28.665362
2016,Week 14,24,Temple,10-3,2025-08-09T09:48:28.665441
2016,Week 14,25,Navy,9-3,2025-08-09T09:48:28.665521
2016,Week 13,1,Alabama,12-0,2025-08-09T09:48:38.955316
2016,Week 13,2,Ohio State,11-1,2025-08-09T09:48:38.955410
2016,Week 13,3,Clemson,11-1,2025-08-09T09:48:38.955493
2016,Week 13,4,Washington,11-1,2025-08-09T09:48:38.955574
2016,Week 13,5,Michigan,10-2,2025-08-09T09:48:38.955654
2016,Week 13,6,Wisconsin,10-2,2025-08-09T09:48:38.955735
2016,Week 13,7,Penn State,10-2,2025-08-09T09:48:38.955814
2016,Week 13,8,Colorado,10-2,2025-08-09T09:48:38.955894
2016,Week 13,9,Oklahoma,9-2,2025-08-09T09:48:38.955973
2016,Week 13,10,Oklahoma State,9-2,2025-08-09T09:48:38.956052
2016,Week 13,11,Southern California,9-3,2025-08-09T09:48:38.956131
2016,Week 13,12,Florida State,9-3,2025-08-09T09:48:38.956210
2016,Week 13,13,Louisville,9-3,2025-08-09T09:48:38.956290
2016,Week 13,14,Auburn,8-4,2025-08-09T09:48:38.956369
2016,Week 13,15,Florida,8-3,2025-08-09T09:48:38.956449
2016,Week 13,16,West Virginia,9-2,2025-08-09T09:48:38.956529
2016,Week 13,17,Western Michigan,12-0,2025-08-09T09:48:38.956608
2016,Week 13,18,Stanford,9-3,2025-08-09T09:48:38.956690
2016,Week 13,19,Navy,9-2,2025-08-09T09:48:38.956769
2016,Week 13,20,Utah,8-4,2025-08-09T09:48:38.956848
2016,Week 13,21,LSU,7-4,2025-08-09T09:48:38.956925
2016,Week 13,22,Tennessee,8-4,2025-08-09T09:48:38.957003
2016,Week 13,23,Virginia Tech,9-3,2025-08-09T09:48:38.957081
2016,Week 13,24,Houston,9-3,2025-08-09T09:48:38.957158
2016,Week 13,25,Pittsburgh,8-4,2025-08-09T09:48:38.957236
2016,Week 12,1,Alabama,11-0,2025-08-09T09:48:49.286834
2016,Week 12,2,Ohio State,10-1,2025-08-09T09:48:49.286926
2016,Week 12,3,Michigan,10-1,2025-08-09T09:48:49.287007
2016,Week 12,4,Clemson,10-1,2025-08-09T09:48:49.287086
2016,Week 12,5,Washington,10-1,2025-08-09T09:48:49.287166
2016,Week 12,6,Wisconsin,9-2,2025-08-09T09:48:49.287245
2016,Week 12,7,Penn State,9-2,2025-08-09T09:48:49.287324
2016,Week 12,8,Oklahoma,9-2,2025-08-09T09:48:49.287403
2016,Week 12,9,Colorado,9-2,2025-08-09T09:48:49.287482
2016,Week 12,10,Oklahoma State,9-2,2025-08-09T09:48:49.287560
2016,Week 12,11,Louisville,9-2,2025-08-09T09:48:49.287639
2016,Week 12,12,Southern California,8-3,2025-08-09T09:48:49.287718
2016,Week 12,13,Auburn,8-3,2025-08-09T09:48:49.287832
2016,Week 12,14,Florida State,8-3,2025-08-09T09:48:49.287967
2016,Week 12,15,Florida,8-2,2025-08-09T09:48:49.288066
2016,Week 12,16,Nebraska,9-2,2025-08-09T09:48:49.288148
2016,Week 12,17,Tennessee,8-3,2025-08-09T09:48:49.288227
2016,Week 12,18,West Virginia,8-2,2025-08-09T09:48:49.288359
2016,Week 12,19,Boise State,10-1,2025-08-09T09:48:49.288441
2016,Week 12,20,Houston,9-2,2025-08-09T09:48:49.288521
2016,Week 12,21,Western Michigan,11-0,2025-08-09T09:48:49.288602
2016,Week 12,22,Utah,8-3,2025-08-09T09:48:49.288682
2016,Week 12,23,Washington State,8-3,2025-08-09T09:48:49.288782
2016,Week 12,24,Stanford,8-3,2025-08-09T09:48:49.288881
2016,Week 12,25,Navy,8-2,2025-08-09T09:48:49.288962
2016,Week 11,1,Alabama,10-0,2025-08-09T09:48:59.582736
2016,Week 11,2,Ohio State,9-1,2025-08-09T09:48:59.582826
2016,Week 11,3,Michigan,9-1,2025-08-09T09:48:59.582958
2016,Week 11,4,Clemson,9-1,2025-08-09T09:48:59.583038
2016,Week 11,5,Louisville,9-1,2025-08-09T09:48:59.583115
2016,Week 11,6,Washington,9-1,2025-08-09T09:48:59.583191
2016,Week 11,7,Wisconsin,8-2,2025-08-09T09:48:59.583268
2016,Week 11,8,Penn State,8-2,2025-08-09T09:48:59.583344
2016,Week 11,9,Oklahoma,8-2,2025-08-09T09:48:59.583420
2016,Week 11,10,Colorado,8-2,2025-08-09T09:48:59.583495
2016,Week 11,11,Oklahoma State,8-2,2025-08-09T09:48:59.583573
2016,Week 11,12,Utah,8-2,2025-08-09T09:48:59.583650
2016,Week 11,13,Southern California,7-3,2025-08-09T09:48:59.583727
2016,Week 11,14,West Virginia,8-1,2025-08-09T09:48:59.583803
2016,Week 11,15,Auburn,7-3,2025-08-09T09:48:59.583880
2016,Week 11,16,LSU,6-3,2025-08-09T09:48:59.583956
2016,Week 11,17,Florida State,7-3,2025-08-09T09:48:59.584033
2016,Week 11,18,Nebraska,8-2,2025-08-09T09:48:59.584109
2016,Week 11,19,Tennessee,7-3,2025-08-09T09:48:59.584185
2016,Week 11,20,Boise State,9-1,2025-08-09T09:48:59.584260
2016,Week 11,21,Western Michigan,10-0,2025-08-09T09:48:59.584337
2016,Week 11,22,Washington State,8-2,2025-08-09T09:48:59.584414
2016,Week 11,23,Florida,7-2,2025-08-09T09:48:59.584490
2016,Week 11,24,Stanford,7-3,2025-08-09T09:48:59.584566
2016,Week 11,25,Texas A&M,7-3,2025-08-09T09:48:59.584642
2016,Week 10,1,Alabama,9-0,2025-08-09T09:49:10.003166
2016,Week 10,2,Clemson,9-0,2025-08-09T09:49:10.003250
2016,Week 10,3,Michigan,9-0,2025-08-09T09:49:10.003324
2016,Week 10,4,Washington,9-0,2025-08-09T09:49:10.003397
2016,Week 10,5,Ohio State,8-1,2025-08-09T09:49:10.003469
