year,week,rank,team,record,scraped_at
2016,Week 10,6,Louisville,8-1,2025-08-09T09:49:10.003542
2016,Week 10,7,Wisconsin,7-2,2025-08-09T09:49:10.003615
2016,Week 10,8,Texas A&M,7-2,2025-08-09T09:49:10.003688
2016,Week 10,9,Auburn,7-2,2025-08-09T09:49:10.003760
2016,Week 10,10,Penn State,7-2,2025-08-09T09:49:10.003833
2016,Week 10,11,Oklahoma,7-2,2025-08-09T09:49:10.003905
2016,Week 10,12,Colorado,7-2,2025-08-09T09:49:10.003977
2016,Week 10,13,Oklahoma State,7-2,2025-08-09T09:49:10.004088
2016,Week 10,14,Virginia Tech,7-2,2025-08-09T09:49:10.004228
2016,Week 10,15,Utah,7-2,2025-08-09T09:49:10.004317
2016,Week 10,16,West Virginia,7-1,2025-08-09T09:49:10.004393
2016,Week 10,17,North Carolina,7-2,2025-08-09T09:49:10.004580
2016,Week 10,18,Florida State,6-3,2025-08-09T09:49:10.004667
2016,Week 10,19,Nebraska,7-2,2025-08-09T09:49:10.004739
2016,Week 10,20,Southern California,6-3,2025-08-09T09:49:10.004810
2016,Week 10,21,Western Michigan,9-0,2025-08-09T09:49:10.004881
2016,Week 10,22,Boise State,8-1,2025-08-09T09:49:10.004952
2016,Week 10,23,Washington State,7-2,2025-08-09T09:49:10.005025
2016,Week 10,24,LSU,5-3,2025-08-09T09:49:10.005097
2016,Week 10,25,Arkansas,6-3,2025-08-09T09:49:10.005170
