year,week,rank,team,record,scraped_at
2021,Week 15,1,Alabama,12-1,2025-08-09T09:42:59.871217
2021,Week 15,2,Michigan,12-1,2025-08-09T09:42:59.871303
2021,Week 15,3,Georgia,12-1,2025-08-09T09:42:59.871378
2021,Week 15,4,Cincinnati,13-0,2025-08-09T09:42:59.871453
2021,Week 15,5,Notre Dame,11-1,2025-08-09T09:42:59.871525
2021,Week 15,6,Ohio State,10-2,2025-08-09T09:42:59.871597
2021,Week 15,7,Baylor,11-2,2025-08-09T09:42:59.871670
2021,Week 15,8,Mississippi,10-2,2025-08-09T09:42:59.871742
2021,Week 15,9,Oklahoma State,11-2,2025-08-09T09:42:59.871818
2021,Week 15,10,Michigan State,10-2,2025-08-09T09:42:59.871891
2021,Week 15,11,Utah,10-3,2025-08-09T09:42:59.871963
2021,Week 15,12,Pittsburgh,11-2,2025-08-09T09:42:59.872036
2021,Week 15,13,BYU,10-2,2025-08-09T09:42:59.872108
2021,Week 15,14,Oregon,10-3,2025-08-09T09:42:59.872180
2021,Week 15,15,Iowa,10-3,2025-08-09T09:42:59.872252
2021,Week 15,16,Oklahoma,10-2,2025-08-09T09:42:59.872323
2021,Week 15,17,Wake Forest,10-3,2025-08-09T09:42:59.872394
2021,Week 15,18,NC State,9-3,2025-08-09T09:42:59.872466
2021,Week 15,19,Clemson,9-3,2025-08-09T09:42:59.872538
2021,Week 15,20,Houston,11-2,2025-08-09T09:42:59.872610
2021,Week 15,21,Arkansas,8-4,2025-08-09T09:42:59.872682
2021,Week 15,22,Kentucky,9-3,2025-08-09T09:42:59.872754
2021,Week 15,23,Louisiana,12-1,2025-08-09T09:42:59.872826
2021,Week 15,24,San Diego State,11-2,2025-08-09T09:42:59.872898
2021,Week 15,25,Texas A&M,8-4,2025-08-09T09:42:59.872974
2021,Week 14,1,Georgia,12-0,2025-08-09T09:43:10.228421
2021,Week 14,2,Michigan,11-1,2025-08-09T09:43:10.228515
2021,Week 14,3,Alabama,11-1,2025-08-09T09:43:10.228595
2021,Week 14,4,Cincinnati,12-0,2025-08-09T09:43:10.228674
2021,Week 14,5,Oklahoma State,11-1,2025-08-09T09:43:10.228753
2021,Week 14,6,Notre Dame,11-1,2025-08-09T09:43:10.228831
2021,Week 14,7,Ohio State,10-2,2025-08-09T09:43:10.228909
2021,Week 14,8,Mississippi,10-2,2025-08-09T09:43:10.228987
2021,Week 14,9,Baylor,10-2,2025-08-09T09:43:10.229065
2021,Week 14,10,Oregon,10-2,2025-08-09T09:43:10.229144
2021,Week 14,11,Michigan State,10-2,2025-08-09T09:43:10.229223
2021,Week 14,12,BYU,10-2,2025-08-09T09:43:10.229300
2021,Week 14,13,Iowa,10-2,2025-08-09T09:43:10.229380
