year,week,rank,team,record,scraped_at
2021,Week 14,14,Oklahoma,10-2,2025-08-09T09:43:10.229459
2021,Week 14,15,Pittsburgh,10-2,2025-08-09T09:43:10.229539
2021,Week 14,16,Wake Forest,10-2,2025-08-09T09:43:10.229619
2021,Week 14,17,Utah,9-3,2025-08-09T09:43:10.229697
2021,Week 14,18,NC State,9-3,2025-08-09T09:43:10.229776
2021,Week 14,19,San Diego State,11-1,2025-08-09T09:43:10.229854
2021,Week 14,20,Clemson,9-3,2025-08-09T09:43:10.229934
2021,Week 14,21,Houston,11-1,2025-08-09T09:43:10.230012
2021,Week 14,22,Arkansas,8-4,2025-08-09T09:43:10.230091
2021,Week 14,23,Kentucky,9-3,2025-08-09T09:43:10.230169
2021,Week 14,24,Louisiana,11-1,2025-08-09T09:43:10.230249
2021,Week 14,25,Texas A&M,8-4,2025-08-09T09:43:10.230327
2021,Week 13,1,Georgia,11-0,2025-08-09T09:43:20.535869
2021,Week 13,2,Ohio State,10-1,2025-08-09T09:43:20.535955
2021,Week 13,3,Alabama,10-1,2025-08-09T09:43:20.536031
2021,Week 13,4,Cincinnati,11-0,2025-08-09T09:43:20.536105
2021,Week 13,5,Michigan,10-1,2025-08-09T09:43:20.536179
2021,Week 13,6,Notre Dame,10-1,2025-08-09T09:43:20.536252
2021,Week 13,7,Oklahoma State,10-1,2025-08-09T09:43:20.536325
2021,Week 13,8,Baylor,9-2,2025-08-09T09:43:20.536398
2021,Week 13,9,Mississippi,9-2,2025-08-09T09:43:20.536470
2021,Week 13,10,Oklahoma,10-1,2025-08-09T09:43:20.536542
2021,Week 13,11,Oregon,9-2,2025-08-09T09:43:20.536616
2021,Week 13,12,Michigan State,9-2,2025-08-09T09:43:20.536690
2021,Week 13,13,BYU,9-2,2025-08-09T09:43:20.536807
2021,Week 13,14,Wisconsin,8-3,2025-08-09T09:43:20.536880
2021,Week 13,15,Texas A&M,8-3,2025-08-09T09:43:20.536952
2021,Week 13,16,Iowa,9-2,2025-08-09T09:43:20.537024
2021,Week 13,17,Pittsburgh,9-2,2025-08-09T09:43:20.537097
2021,Week 13,18,Wake Forest,9-2,2025-08-09T09:43:20.537171
2021,Week 13,19,Utah,8-3,2025-08-09T09:43:20.537243
2021,Week 13,20,NC State,8-3,2025-08-09T09:43:20.537315
2021,Week 13,21,San Diego State,10-1,2025-08-09T09:43:20.537388
2021,Week 13,22,UTSA,11-0,2025-08-09T09:43:20.537461
2021,Week 13,23,Clemson,8-3,2025-08-09T09:43:20.537532
2021,Week 13,24,Houston,10-1,2025-08-09T09:43:20.537605
2021,Week 13,25,Arkansas,7-4,2025-08-09T09:43:20.537677
2021,Week 12,1,Georgia,10-0,2025-08-09T09:43:30.849507
2021,Week 12,2,Alabama,9-1,2025-08-09T09:43:30.849597
2021,Week 12,3,Oregon,9-1,2025-08-09T09:43:30.849709
2021,Week 12,4,Ohio State,9-1,2025-08-09T09:43:30.849786
2021,Week 12,5,Cincinnati,10-0,2025-08-09T09:43:30.849863
2021,Week 12,6,Michigan,9-1,2025-08-09T09:43:30.849940
2021,Week 12,7,Michigan State,9-1,2025-08-09T09:43:30.850017
2021,Week 12,8,Notre Dame,9-1,2025-08-09T09:43:30.850094
2021,Week 12,9,Oklahoma State,9-1,2025-08-09T09:43:30.850171
2021,Week 12,10,Wake Forest,9-1,2025-08-09T09:43:30.850303
2021,Week 12,11,Baylor,8-2,2025-08-09T09:43:30.850382
2021,Week 12,12,Mississippi,8-2,2025-08-09T09:43:30.850473
2021,Week 12,13,Oklahoma,9-1,2025-08-09T09:43:30.850550
2021,Week 12,14,BYU,8-2,2025-08-09T09:43:30.850641
2021,Week 12,15,Wisconsin,7-3,2025-08-09T09:43:30.850721
2021,Week 12,16,Texas A&M,7-3,2025-08-09T09:43:30.850800
2021,Week 12,17,Iowa,8-2,2025-08-09T09:43:30.850878
2021,Week 12,18,Pittsburgh,8-2,2025-08-09T09:43:30.850956
2021,Week 12,19,San Diego State,9-1,2025-08-09T09:43:30.851035
2021,Week 12,20,NC State,7-3,2025-08-09T09:43:30.851114
2021,Week 12,21,Arkansas,7-3,2025-08-09T09:43:30.851192
2021,Week 12,22,UTSA,10-0,2025-08-09T09:43:30.851272
2021,Week 12,23,Utah,7-3,2025-08-09T09:43:30.851352
2021,Week 12,24,Houston,9-1,2025-08-09T09:43:30.851431
2021,Week 12,25,Mississippi State,6-4,2025-08-09T09:43:30.851510
2021,Week 11,1,Georgia,9-0,2025-08-09T09:43:41.128430
2021,Week 11,2,Alabama,8-1,2025-08-09T09:43:41.128522
2021,Week 11,3,Oregon,8-1,2025-08-09T09:43:41.128601
2021,Week 11,4,Ohio State,8-1,2025-08-09T09:43:41.128679
2021,Week 11,5,Cincinnati,9-0,2025-08-09T09:43:41.128755
2021,Week 11,6,Michigan,8-1,2025-08-09T09:43:41.128831
2021,Week 11,7,Michigan State,8-1,2025-08-09T09:43:41.128907
2021,Week 11,8,Oklahoma,9-0,2025-08-09T09:43:41.128982
2021,Week 11,9,Notre Dame,8-1,2025-08-09T09:43:41.129059
2021,Week 11,10,Oklahoma State,8-1,2025-08-09T09:43:41.129134
2021,Week 11,11,Texas A&M,7-2,2025-08-09T09:43:41.129210
2021,Week 11,12,Wake Forest,8-1,2025-08-09T09:43:41.129287
2021,Week 11,13,Baylor University,7-2,2025-08-09T09:43:41.129364
2021,Week 11,14,BYU,8-2,2025-08-09T09:43:41.129440
2021,Week 11,15,Mississippi,7-2,2025-08-09T09:43:41.129516
2021,Week 11,16,NC State,7-2,2025-08-09T09:43:41.129592
2021,Week 11,17,Auburn,6-3,2025-08-09T09:43:41.129669
2021,Week 11,18,Wisconsin,6-3,2025-08-09T09:43:41.129745
2021,Week 11,19,Purdue,6-3,2025-08-09T09:43:41.129820
2021,Week 11,20,Iowa,7-2,2025-08-09T09:43:41.129896
2021,Week 11,21,Pittsburgh,7-2,2025-08-09T09:43:41.129973
2021,Week 11,22,San Diego State,8-1,2025-08-09T09:43:41.130049
2021,Week 11,23,UTSA,9-0,2025-08-09T09:43:41.130125
2021,Week 11,24,Utah,6-3,2025-08-09T09:43:41.130201
2021,Week 11,25,Arkansas,6-3,2025-08-09T09:43:41.130276
2021,Week 10,1,Georgia,8-0,2025-08-09T09:43:51.430524
2021,Week 10,2,Alabama,7-1,2025-08-09T09:43:51.430611
2021,Week 10,3,Michigan State,8-0,2025-08-09T09:43:51.430686
2021,Week 10,4,Oregon,7-1,2025-08-09T09:43:51.430759
2021,Week 10,5,Ohio State,7-1,2025-08-09T09:43:51.430832
2021,Week 10,6,Cincinnati,8-0,2025-08-09T09:43:51.430904
2021,Week 10,7,Michigan,7-1,2025-08-09T09:43:51.430976
2021,Week 10,8,Oklahoma,9-0,2025-08-09T09:43:51.431048
2021,Week 10,9,Wake Forest,8-0,2025-08-09T09:43:51.431119
2021,Week 10,10,Notre Dame,7-1,2025-08-09T09:43:51.431191
2021,Week 10,11,Oklahoma State,7-1,2025-08-09T09:43:51.431264
2021,Week 10,12,Baylor,7-1,2025-08-09T09:43:51.431336
2021,Week 10,13,Auburn,6-2,2025-08-09T09:43:51.431408
2021,Week 10,14,Texas A&M,6-2,2025-08-09T09:43:51.431479
2021,Week 10,15,BYU,7-2,2025-08-09T09:43:51.431552
2021,Week 10,16,Mississippi,6-2,2025-08-09T09:43:51.431624
2021,Week 10,17,Mississippi State,5-3,2025-08-09T09:43:51.431696
2021,Week 10,18,Kentucky,6-2,2025-08-09T09:43:51.431769
2021,Week 10,19,NC State,6-2,2025-08-09T09:43:51.431840
2021,Week 10,20,Minnesota,6-2,2025-08-09T09:43:51.431912
2021,Week 10,21,Wisconsin,5-3,2025-08-09T09:43:51.431984
2021,Week 10,22,Iowa,6-2,2025-08-09T09:43:51.432056
2021,Week 10,23,Fresno State,7-2,2025-08-09T09:43:51.432129
2021,Week 10,24,San Diego State,7-1,2025-08-09T09:43:51.432200
2021,Week 10,25,Pittsburgh,6-2,2025-08-09T09:43:51.432271
