year,week,rank,team,record,scraped_at
2019,Week 12,4,Georgia,9-1,2025-08-09T09:45:33.408919
2019,Week 12,5,Alabama,9-1,2025-08-09T09:45:33.409005
2019,Week 12,6,Oregon,9-1,2025-08-09T09:45:33.409088
2019,Week 12,7,Utah,9-1,2025-08-09T09:45:33.409173
2019,Week 12,8,Penn State,9-1,2025-08-09T09:45:33.409257
2019,Week 12,9,Oklahoma,9-1,2025-08-09T09:45:33.409342
2019,Week 12,10,Minnesota,9-1,2025-08-09T09:45:33.409429
2019,Week 12,11,Florida,9-2,2025-08-09T09:45:33.409516
2019,Week 12,12,Wisconsin,8-2,2025-08-09T09:45:33.409599
2019,Week 12,13,Michigan,8-2,2025-08-09T09:45:33.409684
2019,Week 12,14,Baylor,9-1,2025-08-09T09:45:33.409766
2019,Week 12,15,Auburn,7-3,2025-08-09T09:45:33.409851
2019,Week 12,16,Notre Dame,8-2,2025-08-09T09:45:33.409934
2019,Week 12,17,Iowa,7-3,2025-08-09T09:45:33.410019
2019,Week 12,18,Memphis,9-1,2025-08-09T09:45:33.410106
2019,Week 12,19,Cincinnati,9-1,2025-08-09T09:45:33.410192
2019,Week 12,20,Boise State,9-1,2025-08-09T09:45:33.410275
2019,Week 12,21,Oklahoma State,7-3,2025-08-09T09:45:33.410361
2019,Week 12,22,Iowa State,6-4,2025-08-09T09:45:33.410444
2019,Week 12,23,Southern California,7-4,2025-08-09T09:45:33.410536
2019,Week 12,24,Appalachian State,9-1,2025-08-09T09:45:33.410619
2019,Week 12,25,SMU,9-1,2025-08-09T09:45:33.410703
2019,Week 11,1,LSU,9-0,2025-08-09T09:45:43.739567
2019,Week 11,2,Ohio State,9-0,2025-08-09T09:45:43.739668
2019,Week 11,3,Clemson,10-0,2025-08-09T09:45:43.739754
2019,Week 11,4,Georgia,8-1,2025-08-09T09:45:43.739838
2019,Week 11,5,Alabama,8-1,2025-08-09T09:45:43.739922
2019,Week 11,6,Oregon,8-1,2025-08-09T09:45:43.740005
2019,Week 11,7,Utah,8-1,2025-08-09T09:45:43.740087
2019,Week 11,8,Minnesota,9-0,2025-08-09T09:45:43.740171
2019,Week 11,9,Penn State,8-1,2025-08-09T09:45:43.740260
2019,Week 11,10,Oklahoma,8-1,2025-08-09T09:45:43.740348
2019,Week 11,11,Florida,8-2,2025-08-09T09:45:43.740438
2019,Week 11,12,Auburn,7-2,2025-08-09T09:45:43.740525
2019,Week 11,13,Baylor,9-0,2025-08-09T09:45:43.740703
2019,Week 11,14,Wisconsin,7-2,2025-08-09T09:45:43.740810
2019,Week 11,15,Michigan,7-2,2025-08-09T09:45:43.740901
2019,Week 11,16,Notre Dame,7-2,2025-08-09T09:45:43.740985
2019,Week 11,17,Cincinnati,8-1,2025-08-09T09:45:43.741069
2019,Week 11,18,Memphis,8-1,2025-08-09T09:45:43.741153
2019,Week 11,19,Texas,6-3,2025-08-09T09:45:43.741238
2019,Week 11,20,Iowa,6-3,2025-08-09T09:45:43.741322
2019,Week 11,21,Boise State,8-1,2025-08-09T09:45:43.741406
2019,Week 11,22,Oklahoma State,6-3,2025-08-09T09:45:43.741490
2019,Week 11,23,Navy,7-1,2025-08-09T09:45:43.741575
2019,Week 11,24,Kansas State,6-3,2025-08-09T09:45:43.741659
2019,Week 11,25,Appalachian State,8-1,2025-08-09T09:45:43.741743
2019,Week 10,1,Ohio State,8-0,2025-08-09T09:45:54.053810
2019,Week 10,2,LSU,8-0,2025-08-09T09:45:54.053908
2019,Week 10,3,Alabama,8-0,2025-08-09T09:45:54.053995
2019,Week 10,4,Penn State,8-0,2025-08-09T09:45:54.054079
2019,Week 10,5,Clemson,9-0,2025-08-09T09:45:54.054162
2019,Week 10,6,Georgia,7-1,2025-08-09T09:45:54.054243
2019,Week 10,7,Oregon,8-1,2025-08-09T09:45:54.054325
2019,Week 10,8,Utah,8-1,2025-08-09T09:45:54.054406
2019,Week 10,9,Oklahoma,7-1,2025-08-09T09:45:54.054488
2019,Week 10,10,Florida,7-2,2025-08-09T09:45:54.054569
2019,Week 10,11,Auburn,7-2,2025-08-09T09:45:54.054650
2019,Week 10,12,Baylor,8-0,2025-08-09T09:45:54.054731
2019,Week 10,13,Wisconsin,6-2,2025-08-09T09:45:54.054812
2019,Week 10,14,Michigan,7-2,2025-08-09T09:45:54.054893
2019,Week 10,15,Notre Dame,6-2,2025-08-09T09:45:54.054976
2019,Week 10,16,Kansas State,6-2,2025-08-09T09:45:54.055057
2019,Week 10,17,Minnesota,8-0,2025-08-09T09:45:54.055139
2019,Week 10,18,Iowa,6-2,2025-08-09T09:45:54.055221
2019,Week 10,19,Wake Forest,7-1,2025-08-09T09:45:54.055302
2019,Week 10,20,Cincinnati,7-1,2025-08-09T09:45:54.055383
2019,Week 10,21,Memphis,8-1,2025-08-09T09:45:54.055464
2019,Week 10,22,Boise State,7-1,2025-08-09T09:45:54.055544
2019,Week 10,23,Oklahoma State,6-3,2025-08-09T09:45:54.055638
2019,Week 10,24,Navy,7-1,2025-08-09T09:45:54.055721
2019,Week 10,25,SMU,8-1,2025-08-09T09:45:54.055805
