year,week,rank,team,record,scraped_at
2015,Week 14,1,Clemson,13-0,2025-08-09T09:49:34.006477
2015,Week 14,2,Alabama,12-1,2025-08-09T09:49:34.006568
2015,Week 14,3,Michigan State,12-1,2025-08-09T09:49:34.006646
2015,Week 14,4,Oklahoma,11-1,2025-08-09T09:49:34.006723
2015,Week 14,5,Iowa,12-1,2025-08-09T09:49:34.006804
2015,Week 14,6,Stanford,11-2,2025-08-09T09:49:34.006882
2015,Week 14,7,Ohio State,11-1,2025-08-09T09:49:34.006959
2015,Week 14,8,Notre Dame,10-2,2025-08-09T09:49:34.007035
2015,Week 14,9,Florida State,10-2,2025-08-09T09:49:34.007112
2015,Week 14,10,North Carolina,11-2,2025-08-09T09:49:34.007189
2015,Week 14,11,TCU,10-2,2025-08-09T09:49:34.007319
2015,Week 14,12,Mississippi,9-3,2025-08-09T09:49:34.007461
2015,Week 14,13,Northwestern,10-2,2025-08-09T09:49:34.007538
2015,Week 14,14,Michigan,9-3,2025-08-09T09:49:34.007614
2015,Week 14,15,Oregon,9-3,2025-08-09T09:49:34.007690
2015,Week 14,16,Oklahoma State,10-2,2025-08-09T09:49:34.007768
2015,Week 14,17,Baylor,9-3,2025-08-09T09:49:34.007844
2015,Week 14,18,Houston,12-1,2025-08-09T09:49:34.007920
2015,Week 14,19,Florida,10-3,2025-08-09T09:49:34.007997
2015,Week 14,20,LSU,8-3,2025-08-09T09:49:34.008074
2015,Week 14,21,Navy,9-2,2025-08-09T09:49:34.008152
2015,Week 14,22,Utah,9-3,2025-08-09T09:49:34.008230
2015,Week 14,23,Tennessee,8-4,2025-08-09T09:49:34.008306
2015,Week 14,24,Temple,10-3,2025-08-09T09:49:34.008383
2015,Week 14,25,Southern California,8-5,2025-08-09T09:49:34.008464
2015,Week 13,1,Clemson,12-0,2025-08-09T09:49:44.310343
2015,Week 13,2,Alabama,11-1,2025-08-09T09:49:44.310482
2015,Week 13,3,Oklahoma,11-1,2025-08-09T09:49:44.310564
2015,Week 13,4,Iowa,12-0,2025-08-09T09:49:44.310679
2015,Week 13,5,Michigan State,11-1,2025-08-09T09:49:44.310826
2015,Week 13,6,Ohio State,11-1,2025-08-09T09:49:44.310971
2015,Week 13,7,Stanford,10-2,2025-08-09T09:49:44.311057
2015,Week 13,8,Notre Dame,10-2,2025-08-09T09:49:44.311164
2015,Week 13,9,Florida State,10-2,2025-08-09T09:49:44.311262
2015,Week 13,10,North Carolina,11-1,2025-08-09T09:49:44.311364
2015,Week 13,11,TCU,10-2,2025-08-09T09:49:44.311468
2015,Week 13,12,Baylor,9-2,2025-08-09T09:49:44.311608
2015,Week 13,13,Mississippi,9-3,2025-08-09T09:49:44.311690
2015,Week 13,14,Northwestern,10-2,2025-08-09T09:49:44.311790
2015,Week 13,15,Michigan,9-3,2025-08-09T09:49:44.311908
2015,Week 13,16,Oregon,9-3,2025-08-09T09:49:44.312033
2015,Week 13,17,Oklahoma State,10-2,2025-08-09T09:49:44.312181
2015,Week 13,18,Florida,10-2,2025-08-09T09:49:44.312267
2015,Week 13,19,Houston,11-1,2025-08-09T09:49:44.312383
2015,Week 13,20,Southern California,8-4,2025-08-09T09:49:44.312500
2015,Week 13,21,LSU,8-3,2025-08-09T09:49:44.312628
2015,Week 13,22,Temple,10-2,2025-08-09T09:49:44.312731
2015,Week 13,23,Navy,9-2,2025-08-09T09:49:44.312832
2015,Week 13,24,Utah,9-3,2025-08-09T09:49:44.312957
2015,Week 13,25,Tennessee,8-4,2025-08-09T09:49:44.313037
2015,Week 12,1,Clemson,11-0,2025-08-09T09:49:54.609986
2015,Week 12,2,Alabama,10-1,2025-08-09T09:49:54.610078
2015,Week 12,3,Oklahoma,10-1,2025-08-09T09:49:54.610159
2015,Week 12,4,Iowa,11-0,2025-08-09T09:49:54.610239
2015,Week 12,5,Michigan State,10-1,2025-08-09T09:49:54.610318
2015,Week 12,6,Notre Dame,10-1,2025-08-09T09:49:54.610396
2015,Week 12,7,Baylor,9-1,2025-08-09T09:49:54.610474
2015,Week 12,8,Ohio State,10-1,2025-08-09T09:49:54.610554
2015,Week 12,9,Stanford,9-2,2025-08-09T09:49:54.610632
2015,Week 12,10,Michigan,9-2,2025-08-09T09:49:54.610754
2015,Week 12,11,Oklahoma State,10-1,2025-08-09T09:49:54.610834
2015,Week 12,12,Florida,10-1,2025-08-09T09:49:54.610913
2015,Week 12,13,Florida State,9-2,2025-08-09T09:49:54.610992
2015,Week 12,14,North Carolina,10-1,2025-08-09T09:49:54.611071
2015,Week 12,15,Navy,9-1,2025-08-09T09:49:54.611149
2015,Week 12,16,Northwestern,9-2,2025-08-09T09:49:54.611228
2015,Week 12,17,Oregon,8-3,2025-08-09T09:49:54.611306
2015,Week 12,18,Mississippi,8-3,2025-08-09T09:49:54.611385
2015,Week 12,19,TCU,9-2,2025-08-09T09:49:54.611465
2015,Week 12,20,Washington State,8-3,2025-08-09T09:49:54.611544
2015,Week 12,21,Mississippi State,8-3,2025-08-09T09:49:54.611622
2015,Week 12,22,UCLA,8-3,2025-08-09T09:49:54.611774
2015,Week 12,23,Utah,8-3,2025-08-09T09:49:54.611961
2015,Week 12,24,Toledo,9-1,2025-08-09T09:49:54.612046
2015,Week 12,25,Temple,9-2,2025-08-09T09:49:54.612172
2015,Week 11,1,Clemson,10-0,2025-08-09T09:50:04.909252
2015,Week 11,2,Alabama,9-1,2025-08-09T09:50:04.909338
2015,Week 11,3,Ohio State,10-0,2025-08-09T09:50:04.909412
2015,Week 11,4,Notre Dame,9-1,2025-08-09T09:50:04.909485
2015,Week 11,5,Iowa,10-0,2025-08-09T09:50:04.909558
2015,Week 11,6,Oklahoma State,10-0,2025-08-09T09:50:04.909631
2015,Week 11,7,Oklahoma,9-1,2025-08-09T09:50:04.909703
2015,Week 11,8,Florida,9-1,2025-08-09T09:50:04.909775
2015,Week 11,9,Michigan State,9-1,2025-08-09T09:50:04.909848
2015,Week 11,10,Baylor,8-1,2025-08-09T09:50:04.909921
2015,Week 11,11,Stanford,8-2,2025-08-09T09:50:04.909992
2015,Week 11,12,Michigan,8-2,2025-08-09T09:50:04.910063
2015,Week 11,13,Utah,8-2,2025-08-09T09:50:04.910136
2015,Week 11,14,Florida State,8-2,2025-08-09T09:50:04.910208
2015,Week 11,15,LSU,7-2,2025-08-09T09:50:04.910280
2015,Week 11,16,Navy,8-1,2025-08-09T09:50:04.910352
2015,Week 11,17,North Carolina,9-1,2025-08-09T09:50:04.910423
2015,Week 11,18,TCU,9-1,2025-08-09T09:50:04.910554
2015,Week 11,19,Houston,10-0,2025-08-09T09:50:04.910661
2015,Week 11,20,Northwestern,8-2,2025-08-09T09:50:04.910748
2015,Week 11,21,Memphis,8-2,2025-08-09T09:50:04.910819
2015,Week 11,22,Mississippi,7-3,2025-08-09T09:50:04.910891
2015,Week 11,23,Oregon,7-3,2025-08-09T09:50:04.910964
2015,Week 11,24,Southern California,7-3,2025-08-09T09:50:04.911037
2015,Week 11,25,Wisconsin,8-2,2025-08-09T09:50:04.911110
2015,Week 10,1,Clemson,9-0,2025-08-09T09:50:15.218256
2015,Week 10,2,Alabama,8-1,2025-08-09T09:50:15.218349
2015,Week 10,3,Ohio State,9-0,2025-08-09T09:50:15.218432
2015,Week 10,4,Notre Dame,8-1,2025-08-09T09:50:15.218513
2015,Week 10,5,Iowa,9-0,2025-08-09T09:50:15.218593
2015,Week 10,6,Baylor,8-0,2025-08-09T09:50:15.218672
2015,Week 10,7,Stanford,8-1,2025-08-09T09:50:15.218755
2015,Week 10,8,Oklahoma State,9-0,2025-08-09T09:50:15.218834
2015,Week 10,9,LSU,7-1,2025-08-09T09:50:15.218912
2015,Week 10,10,Utah,8-1,2025-08-09T09:50:15.219091
2015,Week 10,11,Florida,8-1,2025-08-09T09:50:15.219243
2015,Week 10,12,Oklahoma,8-1,2025-08-09T09:50:15.219322
2015,Week 10,13,Michigan State,8-1,2025-08-09T09:50:15.219401
2015,Week 10,14,Michigan,7-2,2025-08-09T09:50:15.219481
2015,Week 10,15,TCU,8-1,2025-08-09T09:50:15.219560
2015,Week 10,16,Florida State,7-2,2025-08-09T09:50:15.219639
2015,Week 10,17,Mississippi State,7-2,2025-08-09T09:50:15.219719
2015,Week 10,18,Northwestern,7-2,2025-08-09T09:50:15.219798
2015,Week 10,19,UCLA,7-2,2025-08-09T09:50:15.219876
2015,Week 10,20,Navy,7-1,2025-08-09T09:50:15.219955
2015,Week 10,21,Memphis,8-1,2025-08-09T09:50:15.220032
2015,Week 10,22,Temple,8-1,2025-08-09T09:50:15.220111
2015,Week 10,23,North Carolina,8-1,2025-08-09T09:50:15.220190
2015,Week 10,24,Houston,9-0,2025-08-09T09:50:15.220269
2015,Week 10,25,Wisconsin,8-2,2025-08-09T09:50:15.220346
