year,week,rank,team,record,scraped_at
2022,Week 13,16,Oregon,9-3,2025-08-09T09:42:07.289318
2022,Week 13,17,UCLA,9-3,2025-08-09T09:42:07.289443
2022,Week 13,18,Tulane,10-2,2025-08-09T09:42:07.289561
2022,Week 13,19,South Carolina,8-4,2025-08-09T09:42:07.289685
2022,Week 13,20,Texas,8-4,2025-08-09T09:42:07.289766
2022,Week 13,21,Notre Dame,8-4,2025-08-09T09:42:07.289848
2022,Week 13,22,UCF,9-3,2025-08-09T09:42:07.289948
2022,Week 13,23,North Carolina,9-3,2025-08-09T09:42:07.290047
2022,Week 13,24,Mississippi State,8-4,2025-08-09T09:42:07.290128
2022,Week 13,25,NC State,8-4,2025-08-09T09:42:07.290209
2022,Week 12,1,Georgia,11-0,2025-08-09T09:42:17.605905
2022,Week 12,2,Ohio State,11-0,2025-08-09T09:42:17.605996
2022,Week 12,3,Michigan,11-0,2025-08-09T09:42:17.606075
2022,Week 12,4,TCU,11-0,2025-08-09T09:42:17.606153
2022,Week 12,5,LSU,9-2,2025-08-09T09:42:17.606230
2022,Week 12,6,Southern California,10-1,2025-08-09T09:42:17.606306
2022,Week 12,7,Alabama,9-2,2025-08-09T09:42:17.606382
2022,Week 12,8,Clemson,10-1,2025-08-09T09:42:17.606459
2022,Week 12,9,Oregon,9-2,2025-08-09T09:42:17.606535
2022,Week 12,10,Tennessee,9-2,2025-08-09T09:42:17.606611
2022,Week 12,11,Penn State,9-2,2025-08-09T09:42:17.606687
2022,Week 12,12,Kansas State,8-3,2025-08-09T09:42:17.606764
2022,Week 12,13,Washington,9-2,2025-08-09T09:42:17.606841
2022,Week 12,14,Utah,8-3,2025-08-09T09:42:17.606918
2022,Week 12,15,Notre Dame,8-3,2025-08-09T09:42:17.606993
2022,Week 12,16,Florida State,8-3,2025-08-09T09:42:17.607069
2022,Week 12,17,North Carolina,9-2,2025-08-09T09:42:17.607145
2022,Week 12,18,UCLA,8-3,2025-08-09T09:42:17.607221
2022,Week 12,19,Tulane,9-2,2025-08-09T09:42:17.607297
2022,Week 12,20,Mississippi,8-3,2025-08-09T09:42:17.607373
2022,Week 12,21,Oregon State,8-3,2025-08-09T09:42:17.607449
2022,Week 12,22,UCF,8-3,2025-08-09T09:42:17.607525
2022,Week 12,23,Texas,7-4,2025-08-09T09:42:17.607601
2022,Week 12,24,Cincinnati,9-2,2025-08-09T09:42:17.607677
2022,Week 12,25,Louisville,7-4,2025-08-09T09:42:17.607752
2022,Week 11,1,Georgia,10-0,2025-08-09T09:42:27.903622
2022,Week 11,2,Ohio State,10-0,2025-08-09T09:42:27.903713
2022,Week 11,3,Michigan,10-0,2025-08-09T09:42:27.903793
2022,Week 11,4,TCU,10-0,2025-08-09T09:42:27.903871
2022,Week 11,5,Tennessee,9-1,2025-08-09T09:42:27.903949
2022,Week 11,6,LSU,8-2,2025-08-09T09:42:27.904026
2022,Week 11,7,Southern California,9-1,2025-08-09T09:42:27.904102
2022,Week 11,8,Alabama,8-2,2025-08-09T09:42:27.904177
2022,Week 11,9,Clemson,9-1,2025-08-09T09:42:27.904253
2022,Week 11,10,Utah,8-2,2025-08-09T09:42:27.904329
2022,Week 11,11,Penn State,8-2,2025-08-09T09:42:27.904405
2022,Week 11,12,Oregon,8-2,2025-08-09T09:42:27.904486
2022,Week 11,13,North Carolina,9-1,2025-08-09T09:42:27.904562
2022,Week 11,14,Mississippi,8-2,2025-08-09T09:42:27.904640
2022,Week 11,15,Kansas State,7-3,2025-08-09T09:42:27.904716
2022,Week 11,16,UCLA,8-2,2025-08-09T09:42:27.904792
2022,Week 11,17,Washington,8-2,2025-08-09T09:42:27.904868
2022,Week 11,18,Notre Dame,7-3,2025-08-09T09:42:27.904944
2022,Week 11,19,Florida State,7-3,2025-08-09T09:42:27.905020
2022,Week 11,20,UCF,8-2,2025-08-09T09:42:27.905095
2022,Week 11,21,Tulane,8-2,2025-08-09T09:42:27.905170
2022,Week 11,22,Oklahoma State,7-3,2025-08-09T09:42:27.905246
2022,Week 11,23,Oregon State,7-3,2025-08-09T09:42:27.905322
2022,Week 11,24,NC State,7-3,2025-08-09T09:42:27.905398
2022,Week 11,25,Cincinnati,8-2,2025-08-09T09:42:27.905474
2022,Week 10,1,Georgia,9-0,2025-08-09T09:42:38.202609
2022,Week 10,2,Ohio State,9-0,2025-08-09T09:42:38.202700
2022,Week 10,3,Michigan,9-0,2025-08-09T09:42:38.202780
2022,Week 10,4,TCU,9-0,2025-08-09T09:42:38.202857
2022,Week 10,5,Tennessee,8-1,2025-08-09T09:42:38.202935
2022,Week 10,6,Oregon,8-1,2025-08-09T09:42:38.203010
2022,Week 10,7,LSU,7-2,2025-08-09T09:42:38.203087
2022,Week 10,8,Southern California,8-1,2025-08-09T09:42:38.203165
2022,Week 10,9,Alabama,7-2,2025-08-09T09:42:38.203243
2022,Week 10,10,Clemson,8-1,2025-08-09T09:42:38.203320
2022,Week 10,11,Mississippi,8-1,2025-08-09T09:42:38.203397
2022,Week 10,12,UCLA,8-1,2025-08-09T09:42:38.203474
2022,Week 10,13,Utah,7-2,2025-08-09T09:42:38.203551
2022,Week 10,14,Penn State,7-2,2025-08-09T09:42:38.203627
2022,Week 10,15,North Carolina,8-1,2025-08-09T09:42:38.203704
2022,Week 10,16,NC State,7-2,2025-08-09T09:42:38.203781
2022,Week 10,17,Tulane,8-1,2025-08-09T09:42:38.203857
2022,Week 10,18,Texas,6-3,2025-08-09T09:42:38.203932
2022,Week 10,19,Kansas State,6-3,2025-08-09T09:42:38.204007
2022,Week 10,20,Notre Dame,6-3,2025-08-09T09:42:38.204082
2022,Week 10,21,Illinois,7-2,2025-08-09T09:42:38.204157
2022,Week 10,22,UCF,7-2,2025-08-09T09:42:38.204233
2022,Week 10,23,Florida State,6-3,2025-08-09T09:42:38.204308
2022,Week 10,24,Kentucky,6-3,2025-08-09T09:42:38.204384
2022,Week 10,25,Washington,7-2,2025-08-09T09:42:38.204459
