year,week,rank,team,record,scraped_at
2022,Week 14,1,Georgia,13-0,2025-08-09T09:41:56.935574
2022,Week 14,2,Michigan,13-0,2025-08-09T09:41:56.935665
2022,Week 14,3,TCU,12-1,2025-08-09T09:41:56.935744
2022,Week 14,4,Ohio State,11-1,2025-08-09T09:41:56.935822
2022,Week 14,5,Alabama,10-2,2025-08-09T09:41:56.935899
2022,Week 14,6,Tennessee,10-2,2025-08-09T09:41:56.935977
2022,Week 14,7,Clemson,11-2,2025-08-09T09:41:56.936053
2022,Week 14,8,Utah,10-3,2025-08-09T09:41:56.936129
2022,Week 14,9,Kansas State,10-3,2025-08-09T09:41:56.936205
2022,Week 14,10,Southern California,11-2,2025-08-09T09:41:56.936281
2022,Week 14,11,Penn State,10-2,2025-08-09T09:41:56.936357
2022,Week 14,12,Washington,10-2,2025-08-09T09:41:56.936434
2022,Week 14,13,Florida State,9-3,2025-08-09T09:41:56.936510
2022,Week 14,14,Oregon State,9-3,2025-08-09T09:41:56.936587
2022,Week 14,15,Oregon,9-3,2025-08-09T09:41:56.936665
2022,Week 14,16,Tulane,11-2,2025-08-09T09:41:56.936743
2022,Week 14,17,LSU,9-4,2025-08-09T09:41:56.936820
2022,Week 14,18,UCLA,9-3,2025-08-09T09:41:56.936897
2022,Week 14,19,South Carolina,8-4,2025-08-09T09:41:56.936974
2022,Week 14,20,Texas,8-4,2025-08-09T09:41:56.937050
2022,Week 14,21,Notre Dame,8-4,2025-08-09T09:41:56.937126
2022,Week 14,22,Mississippi State,8-4,2025-08-09T09:41:56.937203
2022,Week 14,23,NC State,8-4,2025-08-09T09:41:56.937279
2022,Week 14,24,Troy,11-2,2025-08-09T09:41:56.937357
2022,Week 14,25,UTSA,11-2,2025-08-09T09:41:56.937433
2022,Week 13,1,Georgia,12-0,2025-08-09T09:42:07.287714
2022,Week 13,2,Michigan,12-0,2025-08-09T09:42:07.287809
2022,Week 13,3,TCU,12-0,2025-08-09T09:42:07.287892
2022,Week 13,4,Southern California,11-1,2025-08-09T09:42:07.288022
2022,Week 13,5,Ohio State,11-1,2025-08-09T09:42:07.288144
2022,Week 13,6,Alabama,10-2,2025-08-09T09:42:07.288224
2022,Week 13,7,Tennessee,10-2,2025-08-09T09:42:07.288304
2022,Week 13,8,Penn State,10-2,2025-08-09T09:42:07.288383
2022,Week 13,9,Clemson,10-2,2025-08-09T09:42:07.288463
2022,Week 13,10,Kansas State,9-3,2025-08-09T09:42:07.288544
2022,Week 13,11,Utah,9-3,2025-08-09T09:42:07.288623
2022,Week 13,12,Washington,10-2,2025-08-09T09:42:07.288887
2022,Week 13,13,Florida State,9-3,2025-08-09T09:42:07.288985
2022,Week 13,14,LSU,9-3,2025-08-09T09:42:07.289113
2022,Week 13,15,Oregon State,9-3,2025-08-09T09:42:07.289237
