year,week,rank,team,record,scraped_at
2017,Week 13,24,NC State,8-4,2025-08-09T09:47:33.812591
2017,Week 13,25,Fresno State,9-3,2025-08-09T09:47:33.812669
2017,Week 12,1,Alabama,11-0,2025-08-09T09:47:44.126272
2017,Week 12,2,Miami,10-0,2025-08-09T09:47:44.126370
2017,Week 12,3,Clemson,10-1,2025-08-09T09:47:44.126473
2017,Week 12,4,Oklahoma,10-1,2025-08-09T09:47:44.126554
2017,Week 12,5,Wisconsin,11-0,2025-08-09T09:47:44.126634
2017,Week 12,6,Auburn,9-2,2025-08-09T09:47:44.126714
2017,Week 12,7,Georgia,10-1,2025-08-09T09:47:44.126794
2017,Week 12,8,Notre Dame,9-2,2025-08-09T09:47:44.126873
2017,Week 12,9,Ohio State,9-2,2025-08-09T09:47:44.126974
2017,Week 12,10,Penn State,9-2,2025-08-09T09:47:44.127057
2017,Week 12,11,Southern California,10-2,2025-08-09T09:47:44.127211
2017,Week 12,12,TCU,9-2,2025-08-09T09:47:44.127295
2017,Week 12,13,Washington State,9-2,2025-08-09T09:47:44.127376
2017,Week 12,14,Mississippi State,8-3,2025-08-09T09:47:44.127455
2017,Week 12,15,UCF,10-0,2025-08-09T09:47:44.127558
2017,Week 12,16,Michigan State,8-3,2025-08-09T09:47:44.127645
2017,Week 12,17,Washington,9-2,2025-08-09T09:47:44.127747
2017,Week 12,18,LSU,8-3,2025-08-09T09:47:44.127827
2017,Week 12,19,Oklahoma State,8-3,2025-08-09T09:47:44.127907
2017,Week 12,20,Memphis,9-1,2025-08-09T09:47:44.128011
2017,Week 12,21,Stanford,8-3,2025-08-09T09:47:44.128096
2017,Week 12,22,Northwestern,8-3,2025-08-09T09:47:44.128194
2017,Week 12,23,Boise State,9-2,2025-08-09T09:47:44.128274
2017,Week 12,24,South Carolina,8-3,2025-08-09T09:47:44.128374
2017,Week 12,25,Virginia Tech,8-3,2025-08-09T09:47:44.128462
2017,Week 11,1,Alabama,10-0,2025-08-09T09:47:54.429907
2017,Week 11,2,Clemson,9-1,2025-08-09T09:47:54.430001
2017,Week 11,3,Miami,9-0,2025-08-09T09:47:54.430084
2017,Week 11,4,Oklahoma,9-1,2025-08-09T09:47:54.430164
2017,Week 11,5,Wisconsin,10-0,2025-08-09T09:47:54.430244
2017,Week 11,6,Auburn,8-2,2025-08-09T09:47:54.430323
2017,Week 11,7,Georgia,9-1,2025-08-09T09:47:54.430401
2017,Week 11,8,Notre Dame,8-2,2025-08-09T09:47:54.430532
2017,Week 11,9,Ohio State,8-2,2025-08-09T09:47:54.430614
2017,Week 11,10,Penn State,8-2,2025-08-09T09:47:54.430695
2017,Week 11,11,Southern California,9-2,2025-08-09T09:47:54.430775
2017,Week 11,12,TCU,8-2,2025-08-09T09:47:54.430855
2017,Week 11,13,Oklahoma State,8-2,2025-08-09T09:47:54.430934
2017,Week 11,14,Washington State,9-2,2025-08-09T09:47:54.431013
2017,Week 11,15,UCF,9-0,2025-08-09T09:47:54.431092
2017,Week 11,16,Mississippi State,7-3,2025-08-09T09:47:54.431170
2017,Week 11,17,Michigan State,7-3,2025-08-09T09:47:54.431248
2017,Week 11,18,Washington,8-2,2025-08-09T09:47:54.431327
2017,Week 11,19,NC State,7-3,2025-08-09T09:47:54.431405
2017,Week 11,20,LSU,7-3,2025-08-09T09:47:54.431485
2017,Week 11,21,Memphis,8-1,2025-08-09T09:47:54.431563
2017,Week 11,22,Stanford,7-3,2025-08-09T09:47:54.431642
2017,Week 11,23,Northwestern,7-3,2025-08-09T09:47:54.431720
2017,Week 11,24,Michigan,8-2,2025-08-09T09:47:54.431798
2017,Week 11,25,Boise State,8-2,2025-08-09T09:47:54.431877
2017,Week 10,1,Georgia,9-0,2025-08-09T09:48:04.724688
2017,Week 10,2,Alabama,9-0,2025-08-09T09:48:04.724780
2017,Week 10,3,Notre Dame,8-1,2025-08-09T09:48:04.724862
2017,Week 10,4,Clemson,8-1,2025-08-09T09:48:04.724941
2017,Week 10,5,Oklahoma,8-1,2025-08-09T09:48:04.725020
2017,Week 10,6,TCU,8-1,2025-08-09T09:48:04.725099
2017,Week 10,7,Miami,8-0,2025-08-09T09:48:04.725178
2017,Week 10,8,Wisconsin,9-0,2025-08-09T09:48:04.725257
2017,Week 10,9,Washington,8-1,2025-08-09T09:48:04.725334
2017,Week 10,10,Auburn,7-2,2025-08-09T09:48:04.725412
2017,Week 10,11,Southern California,8-2,2025-08-09T09:48:04.725490
2017,Week 10,12,Michigan State,7-2,2025-08-09T09:48:04.725568
2017,Week 10,13,Ohio State,7-2,2025-08-09T09:48:04.725646
2017,Week 10,14,Penn State,7-2,2025-08-09T09:48:04.725725
2017,Week 10,15,Oklahoma State,7-2,2025-08-09T09:48:04.725804
2017,Week 10,16,Mississippi State,7-2,2025-08-09T09:48:04.725881
2017,Week 10,17,Virginia Tech,7-2,2025-08-09T09:48:04.725958
2017,Week 10,18,UCF,8-0,2025-08-09T09:48:04.726036
2017,Week 10,19,Washington State,8-2,2025-08-09T09:48:04.726114
2017,Week 10,20,Iowa,6-3,2025-08-09T09:48:04.726191
2017,Week 10,21,Iowa State,6-3,2025-08-09T09:48:04.726268
2017,Week 10,22,Memphis,8-1,2025-08-09T09:48:04.726345
2017,Week 10,23,NC State,6-3,2025-08-09T09:48:04.726424
2017,Week 10,24,LSU,6-3,2025-08-09T09:48:04.726502
2017,Week 10,25,Northwestern,6-3,2025-08-09T09:48:04.726579
