year,week,rank,team,record,scraped_at
2017,Week 14,1,Clemson,12-1,2025-08-09T09:47:23.506480
2017,Week 14,2,Oklahoma,12-1,2025-08-09T09:47:23.506573
2017,Week 14,3,Georgia,12-1,2025-08-09T09:47:23.506656
2017,Week 14,4,Alabama,11-1,2025-08-09T09:47:23.506737
2017,Week 14,5,Ohio State,11-2,2025-08-09T09:47:23.506844
2017,Week 14,6,Wisconsin,12-1,2025-08-09T09:47:23.506976
2017,Week 14,7,Auburn,10-3,2025-08-09T09:47:23.507093
2017,Week 14,8,Southern California,11-2,2025-08-09T09:47:23.507176
2017,Week 14,9,Penn State,10-2,2025-08-09T09:47:23.507330
2017,Week 14,10,Miami,10-2,2025-08-09T09:47:23.507410
2017,Week 14,11,Washington,10-2,2025-08-09T09:47:23.507489
2017,Week 14,12,UCF,12-0,2025-08-09T09:47:23.507569
2017,Week 14,13,Stanford,9-4,2025-08-09T09:47:23.507650
2017,Week 14,14,Notre Dame,9-3,2025-08-09T09:47:23.507731
2017,Week 14,15,TCU,10-3,2025-08-09T09:47:23.507834
2017,Week 14,16,Michigan State,9-3,2025-08-09T09:47:23.507935
2017,Week 14,17,LSU,9-3,2025-08-09T09:47:23.508020
2017,Week 14,18,Washington State,9-3,2025-08-09T09:47:23.508106
2017,Week 14,19,Oklahoma State,9-3,2025-08-09T09:47:23.508191
2017,Week 14,20,Memphis,10-2,2025-08-09T09:47:23.508272
2017,Week 14,21,Northwestern,9-3,2025-08-09T09:47:23.508355
2017,Week 14,22,Virginia Tech,9-3,2025-08-09T09:47:23.508437
2017,Week 14,23,Mississippi State,8-4,2025-08-09T09:47:23.508519
2017,Week 14,24,NC State,8-4,2025-08-09T09:47:23.508600
2017,Week 14,25,Boise State,10-3,2025-08-09T09:47:23.508683
2017,Week 13,1,Clemson,11-1,2025-08-09T09:47:33.810774
2017,Week 13,2,Auburn,10-2,2025-08-09T09:47:33.810865
2017,Week 13,3,Oklahoma,11-1,2025-08-09T09:47:33.810946
2017,Week 13,4,Wisconsin,12-0,2025-08-09T09:47:33.811026
2017,Week 13,5,Alabama,11-1,2025-08-09T09:47:33.811106
2017,Week 13,6,Georgia,11-1,2025-08-09T09:47:33.811185
2017,Week 13,7,Miami,10-1,2025-08-09T09:47:33.811263
2017,Week 13,8,Ohio State,10-2,2025-08-09T09:47:33.811342
2017,Week 13,9,Penn State,10-2,2025-08-09T09:47:33.811420
2017,Week 13,10,Southern California,10-2,2025-08-09T09:47:33.811497
2017,Week 13,11,TCU,10-2,2025-08-09T09:47:33.811575
2017,Week 13,12,Stanford,9-3,2025-08-09T09:47:33.811653
2017,Week 13,13,Washington,10-2,2025-08-09T09:47:33.811731
2017,Week 13,14,UCF,11-0,2025-08-09T09:47:33.811810
2017,Week 13,15,Notre Dame,9-3,2025-08-09T09:47:33.811888
2017,Week 13,16,Michigan State,9-3,2025-08-09T09:47:33.811965
2017,Week 13,17,LSU,9-3,2025-08-09T09:47:33.812043
2017,Week 13,18,Washington State,9-3,2025-08-09T09:47:33.812122
2017,Week 13,19,Oklahoma State,9-3,2025-08-09T09:47:33.812200
2017,Week 13,20,Memphis,10-1,2025-08-09T09:47:33.812279
2017,Week 13,21,Northwestern,9-3,2025-08-09T09:47:33.812357
2017,Week 13,22,Virginia Tech,9-3,2025-08-09T09:47:33.812434
2017,Week 13,23,Mississippi State,8-4,2025-08-09T09:47:33.812513
