year,week,rank,team,record,scraped_at
2020,Week 15,1,Alabama,9-0,2025-08-09T09:44:13.529079
2020,Week 15,2,Notre Dame,10-0,2025-08-09T09:44:13.529171
2020,Week 15,3,Clemson,9-1,2025-08-09T09:44:13.529253
2020,Week 15,4,Ohio State,5-0,2025-08-09T09:44:13.529333
2020,Week 15,5,Texas A&M,7-1,2025-08-09T09:44:13.529412
2020,Week 15,6,Florida,8-1,2025-08-09T09:44:13.529491
2020,Week 15,7,Iowa State,8-2,2025-08-09T09:44:13.529570
2020,Week 15,8,Cincinnati,8-0,2025-08-09T09:44:13.529650
2020,Week 15,9,Georgia,6-2,2025-08-09T09:44:13.529728
2020,Week 15,10,Miami,8-1,2025-08-09T09:44:13.529851
2020,Week 15,11,Oklahoma,7-2,2025-08-09T09:44:13.529929
2020,Week 15,12,Indiana,6-1,2025-08-09T09:44:13.530007
2020,Week 15,13,Coastal Carolina,10-0,2025-08-09T09:44:13.530085
2020,Week 15,14,Northwestern,5-1,2025-08-09T09:44:13.530162
2020,Week 15,15,Southern California,4-0,2025-08-09T09:44:13.530241
2020,Week 15,16,Iowa,5-2,2025-08-09T09:44:13.530320
2020,Week 15,17,North Carolina,7-3,2025-08-09T09:44:13.530398
2020,Week 15,18,BYU,9-1,2025-08-09T09:44:13.530520
2020,Week 15,19,Louisiana,9-1,2025-08-09T09:44:13.530598
2020,Week 15,20,Texas,6-3,2025-08-09T09:44:13.530677
2020,Week 15,21,Colorado,4-0,2025-08-09T09:44:13.530755
2020,Week 15,22,Oklahoma State,6-3,2025-08-09T09:44:13.530833
2020,Week 15,23,NC State,8-3,2025-08-09T09:44:13.530910
2020,Week 15,24,Tulsa,6-1,2025-08-09T09:44:13.530988
2020,Week 15,25,Missouri,5-3,2025-08-09T09:44:13.531067
2020,Week 14,1,Alabama,8-0,2025-08-09T09:44:23.891221
2020,Week 14,2,Notre Dame,9-0,2025-08-09T09:44:23.891357
2020,Week 14,3,Clemson,8-1,2025-08-09T09:44:23.891479
2020,Week 14,4,Ohio State,4-0,2025-08-09T09:44:23.891569
2020,Week 14,5,Texas A&M,6-1,2025-08-09T09:44:23.891693
2020,Week 14,6,Florida,7-1,2025-08-09T09:44:23.891808
2020,Week 14,7,Cincinnati,8-0,2025-08-09T09:44:23.891897
2020,Week 14,8,Georgia,6-2,2025-08-09T09:44:23.891981
2020,Week 14,9,Iowa State,7-2,2025-08-09T09:44:23.892065
2020,Week 14,10,Miami,7-1,2025-08-09T09:44:23.892216
2020,Week 14,11,Oklahoma,6-2,2025-08-09T09:44:23.892304
2020,Week 14,12,Indiana,5-1,2025-08-09T09:44:23.892388
2020,Week 14,13,BYU,9-0,2025-08-09T09:44:23.892472
2020,Week 14,14,Northwestern,5-1,2025-08-09T09:44:23.892555
2020,Week 14,15,Oklahoma State,6-2,2025-08-09T09:44:23.892638
2020,Week 14,16,Wisconsin,2-1,2025-08-09T09:44:23.892724
2020,Week 14,17,North Carolina,6-3,2025-08-09T09:44:23.892808
2020,Week 14,18,Coastal Carolina,9-0,2025-08-09T09:44:23.892894
2020,Week 14,19,Iowa,4-2,2025-08-09T09:44:23.892981
2020,Week 14,20,Southern California,3-0,2025-08-09T09:44:23.893065
2020,Week 14,21,Marshall,7-0,2025-08-09T09:44:23.893149
2020,Week 14,22,Washington,3-0,2025-08-09T09:44:23.893233
2020,Week 14,23,Oregon,3-1,2025-08-09T09:44:23.893316
2020,Week 14,24,Tulsa,5-1,2025-08-09T09:44:23.893440
2020,Week 14,25,Louisiana,8-1,2025-08-09T09:44:23.893599
2020,Week 13,1,Alabama,7-0,2025-08-09T09:44:34.205242
2020,Week 13,2,Notre Dame,8-0,2025-08-09T09:44:34.205338
2020,Week 13,3,Clemson,7-1,2025-08-09T09:44:34.205421
2020,Week 13,4,Ohio State,4-0,2025-08-09T09:44:34.205503
2020,Week 13,5,Texas A&M,5-1,2025-08-09T09:44:34.205584
2020,Week 13,6,Florida,6-1,2025-08-09T09:44:34.205665
2020,Week 13,7,Cincinnati,8-0,2025-08-09T09:44:34.205745
2020,Week 13,8,Northwestern,5-0,2025-08-09T09:44:34.205827
2020,Week 13,9,Georgia,5-2,2025-08-09T09:44:34.205909
2020,Week 13,10,Miami,7-1,2025-08-09T09:44:34.205992
2020,Week 13,11,Oklahoma,6-2,2025-08-09T09:44:34.206076
2020,Week 13,12,Indiana,4-1,2025-08-09T09:44:34.206159
2020,Week 13,13,Iowa State,6-2,2025-08-09T09:44:34.206244
2020,Week 13,14,BYU,9-0,2025-08-09T09:44:34.206329
2020,Week 13,15,Oregon,3-0,2025-08-09T09:44:34.206415
2020,Week 13,16,Wisconsin,2-1,2025-08-09T09:44:34.206504
2020,Week 13,17,Texas,5-2,2025-08-09T09:44:34.206590
2020,Week 13,18,Southern California,3-0,2025-08-09T09:44:34.206675
2020,Week 13,19,North Carolina,6-2,2025-08-09T09:44:34.206758
2020,Week 13,20,Coastal Carolina,8-0,2025-08-09T09:44:34.206842
2020,Week 13,21,Marshall,7-0,2025-08-09T09:44:34.206930
2020,Week 13,22,Auburn,5-2,2025-08-09T09:44:34.207015
2020,Week 13,23,Oklahoma State,5-2,2025-08-09T09:44:34.207103
2020,Week 13,24,Iowa,3-2,2025-08-09T09:44:34.207188
2020,Week 13,25,Tulsa,5-1,2025-08-09T09:44:34.207272
